uid,contractUid,number,dateSigned,type,title,amountValue,description,url
2021-050-13/і/226,050-13/і/226,4,2026-02-06,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/226,null,Додатковою угодою подовжено строк затвердження проєктної документації,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2026/dodatkova_ugoda_vid_06022026__4_do_investitsiynogo_dogovoru_vid__30122021_050-13_i_226/
2021-050-13/і/227,050-13/і/227,1,2023-09-01,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/227,null,Додатковою угодою подовжено строк затвердження проєктної документації та визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану,null
2021-050-13/і/227,050-13/і/227,2,2024-03-21,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/227,null,Додатковою угодою подовжено строк затвердження проєктної документації,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2024/dodatkova_ugoda_vid_21032024__2_do_investitsiynogo_dogovoru_vid_31122021__050-13_i_227/
2021-050-13/і/227,050-13/і/227,3,2025-05-22,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/227,null,Додатковою угодою подовжено строк затвердження проєктної документації,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_traven_2025/dodatkova_ugoda_vid_22052025__3_do_investitsiynogo_dogovoru_vid_31122021__050-13_i_227/
2021-050-13/і/227,050-13/і/227,4,2026-02-25,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/227,null,Додатковою угодою подовжено строк затвердження проєктної документації,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2026/dodatkova_ugoda_vid_25022026__4_do_investitsiynogo_dogovoru_vid_31122021__050-13_i_227/
2023-050-13/і/230,050-13/і/230,1,2024-10-23,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/230,null,Додатковою угодою встановлено доплату у зв'язку зі збільшенням ТЕП та затверджено графік реалізації інвестиційного проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_zhovten_2024_1015215/dodatkova_ugoda_vid_23102024__1_do_investitsiynogo_dogovoru_vid_28122023__050-13_i_230_1015217/
2023-050-13/і/230,050-13/і/230,2,2025-02-25,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/230,null,Додатковою угодою подовжено строк облаштування об'єкту інвестування та викладено в новій редакції графік реалізації інвестиційного проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2025/dodatkova_ugoda_vid_25022025__2_do_investitsiynogo_dogovoru_vid_28122023__050-13_i_230/
2015-050-13/і/156,050-13/і/156,1,2017-06-07,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/156,null,Додатковою угодою подовжено строк облаштування об'єкту інвестування,null
2015-050-13/і/156,050-13/і/156,2,2019-08-21,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/156,null,Додатковою угодою подовжено строк облаштування об'єкту інвестування та деякі пункти в інвестиційному договорі викладено в новій редакції,null
2015-050-13/і/156,050-13/і/156,3,2020-12-15,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/156,null,Додатковою угодою подовжено строк облаштування об'єкту інвестування та деякі пункти в інвестиційному договорі викладено в новій редакції,null
2015-050-13/і/156,050-13/і/156,4,2021-09-14,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/156,null,Додатковою угодою подовжено строк облаштування об'єкту інвестування,null
2015-050-13/і/159,050-13/і/159,1,2016-01-26,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/159,null,"Додатковою угодою визначено схеми розміщення місць, облаштованих спеціальними конструкціями",null
2015-050-13/і/159,050-13/і/159,2,2016-10-13,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/159,null,Додатковою угодою викладено Додаток 1 в новій редакції,null
2015-050-13/і/159,050-13/і/159,3,2020-11-25,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/159,null,Додатковою угодою виключено деякі пункти в інвестиційному договорі,null
2016-050-13/і/161,050-13/і/161,1,2016-12-22,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/161,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту з новим строком,null
2016-050-13/і/161,050-13/і/161,2,2021-08-17,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/161,null,Додатковою угодою виключено деякі пункти в інвестиційному договорі,null
2018-050-13/і/169,050-13/і/169,1,2020-03-06,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/169,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту,null
