facility_id,osm_ref,category,subtype,name,operator,ownership,addr_street,addr_housenumber,grid_id,power_source_id,power_source_name,power_zone_id,power_connection_type,backup_power,backup_power_capacity_kw,dependency_confidence,dependency_notes,source
osm_relation_365812,relation/365812,education,kindergarten,,,,вулиця Миколи Закревського,31-А,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_158599,relation/158599,education,kindergarten,,,,вулиця Миколи Закревського,37-А,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2169778,relation/2169778,education,kindergarten,,,,Прирічна вулиця,17-Б,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2105352,relation/2105352,education,kindergarten,,,,проспект Володимира Івасюка,48-А,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2105353,relation/2105353,education,kindergarten,,,,Прирічна вулиця,19-Б,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2105354,relation/2105354,education,kindergarten,,,,Прирічна вулиця,29-А,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_159029,relation/159029,education,kindergarten,,,,вулиця Вікентія Беретті,9,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_159030,relation/159030,education,kindergarten,,,,вулиця Вікентія Беретті,5-Б,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_159031,relation/159031,education,kindergarten,,,,вулиця Оноре де Бальзака,46-Б,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_288180,relation/288180,education,kindergarten,,,,вулиця Миколи Закревського,49-Б,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_165152,relation/165152,education,kindergarten,,,,вулиця Сержа Лифаря,16-А,kyiv_grid_07_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_159032,relation/159032,education,kindergarten,,,,вулиця Сержа Лифаря,11-Б,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_159033,relation/159033,education,kindergarten,,,,вулиця Сержа Лифаря,19-А,kyiv_grid_07_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_165151,relation/165151,education,kindergarten,,,,вулиця Сержа Лифаря,16-Б,kyiv_grid_07_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2185100,relation/2185100,education,kindergarten,,,,вулиця Степана Олійника,6,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2185107,relation/2185107,education,kindergarten,,,,вулиця Степана Олійника,10,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2156405,relation/2156405,education,kindergarten,,,,вулиця Ревуцького,7-Б,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_288678,relation/288678,education,kindergarten,,,,вулиця Братства Тарасівців,6-А,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_5504707,relation/5504707,education,kindergarten,,,,проспект Миколи Бажана,7-А,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_9463025,relation/9463025,education,kindergarten,,,,вулиця Архітектора Вербицького,8-Б,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_9463026,relation/9463026,education,kindergarten,,,,,,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_288677,relation/288677,education,kindergarten,,,,вулиця Архітектора Вербицького,24-В,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_5504708,relation/5504708,education,kindergarten,,,,проспект Миколи Бажана,7-Є,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_288675,relation/288675,education,kindergarten,,,,проспект Миколи Бажана,9-Є,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2156372,relation/2156372,education,kindergarten,,,,вулиця Архітектора Вербицького,9-В,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2156373,relation/2156373,education,kindergarten,,,,вулиця Архітектора Вербицького,17-Б,kyiv_grid_08_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_110060,relation/110060,education,kindergarten,,,,Тростянецька вулиця,7-Б,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_110061,relation/110061,education,kindergarten,,,,Тростянецька вулиця,3-А,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_10285100,relation/10285100,education,kindergarten,,,,Тростянецька вулиця,8-Г,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_16400378,relation/16400378,education,kindergarten,,,,,,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_17293332,relation/17293332,education,kindergarten,,,,,,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1430193,relation/1430193,education,kindergarten,,,,Гроденська вулиця,11-А,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_168737,relation/168737,education,kindergarten,,,,бульвар Володимира Висоцького,3,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_168739,relation/168739,education,kindergarten,,,,,,kyiv_grid_07_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_3206355,relation/3206355,education,kindergarten,,,,вулиця Симона Петлюри,13-Б,kyiv_grid_11_06,,,,,,,,,OpenStreetMap Overpass API
osm_node_8516023417,node/8516023417,education,kindergarten,Active Child School,,,Нижньоключова вулиця,14,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_7620230089,node/7620230089,education,kindergarten,Art4Kids,,,провулок Алли Горської,5,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_11934681557,node/11934681557,education,kindergarten,Bumblebee,,,,,kyiv_grid_07_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_548881553,way/548881553,education,kindergarten,Clever Kids,,,,,kyiv_grid_05_05,,,,,,,,,OpenStreetMap Overpass API
osm_node_7007948772,node/7007948772,education,kindergarten,Ecoland+,,,,,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_11222978874,node/11222978874,education,kindergarten,Elfik,,,,,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_5923851111,node/5923851111,education,kindergarten,Emily Baby Club,,,,,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_5339228877,node/5339228877,education,kindergarten,Emily Day Care,,,,,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_5927570190,node/5927570190,education,kindergarten,Emily Preschool,,,,,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_6362261017,node/6362261017,education,kindergarten,Happy Rony,Happy Rony,,вулиця Федора Ернста,16,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_4546196089,node/4546196089,education,kindergarten,Happy Time,,,,,kyiv_grid_02_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_146170775,way/146170775,education,kindergarten,Happy Time - дитячий садок-школа,,,Половецька вулиця,49,kyiv_grid_04_05,,,,,,,,,OpenStreetMap Overpass API
