providerName,providerId,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorDesignator2,addressLocatorBuilding,lat,lon
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,1,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,5,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,15,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,6,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03028,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Феодосійська,2,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03028,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Феодосійська,18-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,5,null,1,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,5,null,2,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,7,null,1,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03022,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,34/2,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03022,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,53,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,пров. Задорожний,5/1,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,пров. Задорожний,3/1,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,пров. Задорожний,6,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,03040,Україна,місто Київ,null,null,Київ,Голосіївський район,пров. Задорожний,3/2,null,null,null,null
